Product ID,Merchant Store,Merchant Slug,Product Name,Category,Price (INR),Original Price (INR),Stock Inventory,Tags,Technical AI Specs,Full Description
prod_bf_charger_01,ByteForge,byteforge,Anker 100W GaN Fast Charger & Powerbank,Accessories,"₹3,999.00","₹4,999.00",80,"charger, powerbank, anker, fast-charge, usb-c, magsafe, accessory","power: 100W GaN Fast Charge | capacity: 10,000mAh Magnetic Powerbank","Multi-device 100W GaN fast charger with 10,000mAh magnetic powerbank, dual USB-C PD 3.0 ports, compact foldable prongs, charges smartphones to 50% in 20 minutes."
prod_bf_gpu_01,ByteForge,byteforge,NVIDIA GeForce RTX 4090 24GB,Graphics Cards,"₹189,999.00","₹199,999.00",8,"gpu, nvidia, rtx4090, graphics-card, processor, vram, ai, gaming, flagship","chipset: NVIDIA GeForce RTX 4090 | cuda_cores: 16,384 | vram: 24GB GDDR6X (384-bit bus) | boost_clock: 2520 MHz | dlss: DLSS 3.5 with Frame Generation & Ray Reconstruction","Ultimate flagship GPU powered by NVIDIA Ada Lovelace architecture, 16,384 CUDA cores, 24GB GDDR6X VRAM, 4th Gen Tensor cores, DLSS 3.5 frame generation, and 8K ray tracing rendering engine for AI & 4K gaming."
prod_bf_gpu_02,ByteForge,byteforge,NVIDIA GeForce RTX 4080 Super 16GB,Graphics Cards,"₹104,999.00","₹114,999.00",15,"gpu, nvidia, rtx4080, graphics-card, processor, vram, 4k-gaming","chipset: NVIDIA GeForce RTX 4080 Super | cuda_cores: 10,240 | vram: 16GB GDDR6X (256-bit bus)","High-end 4K gaming GPU with 10,240 CUDA cores, 16GB GDDR6X memory, 23 Gbps memory speed, DLSS 3.5 AI upscaling, 3x DisplayPort 1.4a, and vapor-chamber triple fan cooling."
prod_bf_003,ByteForge,byteforge,RTX 4060 Ti Graphics Card,Graphics Cards,"₹34,999.00","₹39,999.00",12,"gpu, nvidia, rtx, gaming",chipset: RTX 4060 Ti | vram: 8GB GDDR6 | tdp: 160W | ports: 3x DP + 1x HDMI,"NVIDIA GeForce RTX 4060 Ti 8GB GDDR6, ray tracing, DLSS 3.0, dual-fan cooler."
prod_bf_001,ByteForge,byteforge,Vortex Mechanical Keyboard,Keyboards,"₹5,499.00","₹6,999.00",38,"keyboard, mechanical, hot-swap, gateron",switches: Gateron Yellow | layout: TKL 87-key,"Hot-swappable TKL mechanical gaming keyboard with Gateron Yellow switches, PBT doubleshot keycaps, and per-key RGB backlighting."
prod_bf_002,ByteForge,byteforge,Phantom X Wireless Mouse,Mice,"₹3,999.00","₹4,999.00",65,"mouse, wireless, gaming, lightweight",sensor: PAW3395 | dpi: 26000 | weight: 58g,"Lightweight 58g wireless gaming mouse with PAW3395 sensor, 26K DPI, optical switches, and 80hr battery life."
prod_bf_004,ByteForge,byteforge,"UltraView 27"" 165Hz Monitor",Monitors,"₹24,999.00","₹29,999.00",18,"monitor, qhd, 165hz, ips",panel: IPS | resolution: 2560x1440 | refresh: 165Hz | response: 1ms GTG,"27-inch QHD IPS gaming monitor, 165Hz, 1ms GTG, AMD FreeSync Premium, USB-C PD 65W."
prod_bf_phone_02,ByteForge,byteforge,Apple iPhone 15 Pro Max,Smartphones,"₹159,900.00","₹169,900.00",18,"smartphone, apple, iphone, camera, processor, a17pro, flagship, ios, 5g","processor: Apple A17 Pro (3nm) 6-core CPU + 6-core Neural Engine | camera: 48MP Main (sensor-shift OIS) + 12MP 5x Telephoto (120mm focal) + 12MP Ultra-wide | display: 6.7"" Super Retina XDR OLED, 120Hz ProMotion, Always-On Display | ram: 8GB Unified Memory | storage: 256GB NVMe | chassis: Grade 5 Titanium frame with Ceramic Shield | key_advantage: Best for 4K ProRes video creation, iOS ecosystem, A17 Pro ray-tracing gaming, and 5x optical zoom","Apple flagship powered by A17 Pro 3nm chip with 6-core GPU, 48MP Pro camera system with 5x Telephoto optical zoom lens, 4K 60fps ProRes video recording, Super Retina XDR OLED display with ProMotion 120Hz, Natural Titanium design, and USB-C 3.0."
prod_bf_phone_01,ByteForge,byteforge,Samsung Galaxy S24 Ultra 5G,Smartphones,"₹129,999.00","₹139,999.00",25,"smartphone, samsung, galaxy, camera, processor, snapdragon, flagship, 5g, android","processor: Qualcomm Snapdragon 8 Gen 3 for Galaxy (4nm) | camera: 200MP Main + 50MP Periscope (5x optical) + 10MP Telephoto + 12MP Ultra-wide | display: 6.8"" QHD+ Dynamic AMOLED 2X, 120Hz Adaptive, 2600 nits peak brightness | ram: 12GB LPDDR5X | storage: 512GB UFS 4.0 | battery: 5000mAh with 45W fast charge | key_advantage: Best for 200MP 100x Space Zoom photography, S Pen stylus productivity, and Snapdragon 8 Gen 3 performance","Flagship Android productivity phone powered by Snapdragon 8 Gen 3 for Galaxy, 200MP Quad Camera with 100x Space Zoom, 6.8"" QHD+ Dynamic AMOLED 120Hz display, 12GB RAM, 512GB UFS 4.0 storage, Titanium frame, and embedded S Pen."
prod_bf_phone_03,ByteForge,byteforge,OnePlus 12 5G,Smartphones,"₹69,999.00","₹74,999.00",40,"smartphone, oneplus, camera, processor, hasselblad, snapdragon, fast-charge, 5g","processor: Qualcomm Snapdragon 8 Gen 3 (4nm) | camera: 50MP Sony LYT-808 OIS + 64MP 3x Periscope + 48MP Ultra-wide (Hasselblad tuned) | display: 6.82"" 2K+ LTPO 4.0 AMOLED, 1-120Hz, 4500 nits peak | ram: 16GB LPDDR5X | storage: 512GB UFS 4.0 | battery: 5400mAh with 100W SUPERVOOC & 50W AIRVOOC | key_advantage: Best value flagship under ₹70k with ultra-fast 100W charging, 16GB RAM, and Hasselblad color tuning","Value flagship powered by Snapdragon 8 Gen 3, 4th Gen Hasselblad Camera for Mobile with Sony LYT-808 sensor, 64MP periscope telephoto, 2K 120Hz ProXDR display, 100W SUPERVOOC fast charge (0 to 100% in 26 mins), and 5400mAh battery."
